#{"t_start": 1774737337.9330404, "env_id": "None"}
r,l,t
115.0,11,0.039559
-10.0,9,0.055136
-45.0,8,0.067575
95.0,8,0.079483
110.0,19,0.104198
-17.0,10,0.11771
-60.0,3,0.122365
55.0,6,0.130567
-33.0,9,0.142944
60.0,9,0.160183
93.0,9,0.173642
-20.0,5,0.180911
45.0,5,0.188474
25.0,7,0.205579
-65.0,9,0.221208
-105.0,6,0.230197
-7.0,5,0.237887
0.0,8,0.249747
38.0,10,0.26657
-100.0,5,0.276289
-25.0,5,0.287428
-170.0,12,0.306172
-3.0,5,0.315221
8.0,8,0.337222
-2.0,9,0.355749
79.0,14,0.379605
-77.0,10,0.395535
45.0,10,0.413781
65.0,10,0.434422
-34.0,9,0.454106
2.0,8,0.468378
-50.0,6,0.480192
48.0,8,0.492366
21.0,10,0.506538
76.0,15,0.532302
93.0,11,0.555098
94.0,13,0.583956
100.0,13,0.613004
-10.0,10,0.637524
32.0,9,0.682057
-25.0,10,0.710681
131.0,17,0.741273
-30.0,5,0.749691
-14.0,10,0.763383
63.0,9,0.77624
56.0,10,0.792045
48.0,8,0.805063
90.0,7,0.813612
48.0,13,0.832069
43.0,8,0.843319
7.0,13,0.859526
55.0,8,0.873987
40.0,6,0.882153
-32.0,10,0.897455
-72.0,9,0.911364
-77.0,13,0.931651
159.0,11,0.945606
-7.0,10,0.96478
-40.0,14,0.993368
-82.0,9,1.013929
-50.0,6,1.025852
-40.0,7,1.037455
-30.0,8,1.0523
18.0,13,1.083925
65.0,7,1.09881
-15.0,6,1.11291
0.0,10,1.134605
80.0,12,1.15408
-30.0,5,1.161229
49.0,14,1.182484
93.0,13,1.203554
18.0,6,1.218017
-25.0,6,1.240542
-62.0,12,1.271914
158.0,13,1.293215
62.0,10,1.31462
82.0,9,1.331391
30.0,7,1.345658
-12.0,9,1.363573
-65.0,6,1.375878
35.0,9,1.392739
53.0,7,1.404987
78.0,9,1.422873
-85.0,5,1.432885
-80.0,6,1.443364
25.0,9,1.457472
-40.0,9,1.470781
62.0,8,1.482889
0.0,9,1.496209
10.0,6,1.505021
80.0,5,1.514059
99.0,11,1.53172
-10.0,7,1.542269
43.0,9,1.555632
-82.0,9,1.567776
10.0,9,1.579256
-60.0,9,1.592522
-45.0,6,1.601398
