run,learning_rate,n_steps,gamma,gae_lambda,ent_coef,vf_coef,max_grad_norm,mean_reward,fairness_score,train_time_s
1,0.0007,5,0.99,1.0,0.0,0.5,0.5,249.15,0.875,416.4
2,0.0007,5,0.99,1.0,0.01,0.5,0.5,298.15,0.908,304.1
3,0.0007,5,0.99,1.0,0.05,0.5,0.5,301.1,0.845,174.9
4,0.002,5,0.99,1.0,0.0,0.5,0.5,212.4,0.845,244.2
5,0.0002,5,0.99,1.0,0.01,0.5,0.5,253.3,0.926,242.4
6,0.0007,20,0.99,1.0,0.0,0.5,0.5,293.05,0.896,148.0
7,0.0007,50,0.99,1.0,0.01,0.5,0.5,205.35,0.895,133.9
8,0.0007,5,0.99,1.0,0.0,1.0,0.5,308.45,0.895,237.6
9,0.0007,5,0.99,1.0,0.01,0.5,0.2,240.55,0.868,238.9
10,0.0007,5,0.9,0.9,0.01,0.5,0.5,254.65,0.875,383.8
